HATCHERY Fall Chinook,HATCHERY Winter Steelhead,HATCHERY Type S Coho,HATCHERY Type N Coho,WILD  Chum
299,023,294,334,318
299,023,294,334,318
299,023,294,334,318
299,023,294,334,318
299,024,294,334,318
299,025,294,334,318
299,025,294,334,318
299,025,294,334,318
299,025,294,334,318
299,025,294,334,318
299,025,294,334,318
299,025,294,334,318
299,025,294,334,318
300,025,294,334,318
300,025,294,334,318
300,025,294,334,318
300,025,294,334,318
300,025,294,334,318
300,025,294,334,318
300,025,294,334,318
300,025,294,334,318
300,025,294,338,318
300,025,294,338,318
300,025,294,338,318
300,025,294,338,318
300,025,294,338,318
300,025,294,338,318
300,025,294,338,318
300,025,294,338,318
300,025,294,338,318
300,025,294,338,318
300,025,294,338,318
300,025,294,338,318
301,025,294,338,318
301,025,294,338,319
303,026,294,338,319
303,028,294,338,319
305,028,294,338,319
305,031,294,338,319
305,036,294,338,319
308,036,294,338,319
308,036,294,338,319
309,036,294,338,319
309,036,294,338,319
309,037,294,338,319
309,037,294,338,319
309,037,294,338,319
309,037,294,338,319
309,288,294,338,319
309,288,294,338,319
309,288,294,339,319
309,288,294,339,319
309,288,294,339,319
309,288,294,339,319
309,288,294,339,319
309,288,294,341,319
309,288,294,341,319
309,288,294,341,319
309,288,294,341,319
309,288,294,341,319
309,288,294,341,319
309,288,294,341,319
309,288,294,341,319
309,288,294,341,319
309,288,294,341,319
309,288,294,341,319
309,288,294,341,319
309,288,294,341,319
309,288,294,341,319
309,288,294,341,319
309,288,294,341,319
309,288,294,341,319
309,288,294,341,319
309,288,294,341,319
309,288,294,341,319
309,288,294,341,319
309,288,294,341,319
309,288,294,341,319
309,288,294,341,319
309,288,294,341,319
309,288,294,341,319
309,288,294,341,319
309,288,294,341,319
309,288,294,341,319
309,288,294,341,319
309,288,294,341,319
309,288,294,341,319
309,288,294,341,319
309,288,294,341,319
309,288,294,341,319
309,288,294,341,319
309,288,294,341,319
309,288,294,341,319
309,288,294,341,319
309,288,294,341,319
309,288,294,341,319
309,288,294,341,319
309,288,294,341,319
309,288,294,341,319
309,288,294,341,319
309,288,294,341,319
309,288,294,341,319
309,288,294,341,319
309,288,294,341,319
309,288,294,341,319
309,288,294,341,319
309,288,294,341,319
309,288,294,341,319
309,288,294,341,319
309,288,294,341,319
309,288,294,343,319
309,288,294,343,319
309,288,294,343,319
309,288,294,343,319
309,288,294,343,319
309,288,294,343,319
309,288,294,343,319
309,288,294,343,319
309,288,294,343,319
309,288,294,343,319
309,288,294,343,319
309,288,294,343,319
309,288,294,343,319
309,288,294,343,319
309,288,294,343,319
,288,294,343,319
,288,294,343,319
,288,294,343,319
,288,294,343,319
,288,294,343,319
,288,294,343,319
,288,294,343,319
,288,294,343,319
,288,294,343,319
,288,294,343,319
,288,294,343,319
,288,294,343,319
,288,294,343,319
,288,294,343,319
,288,294,343,319
,288,294,343,319
,288,294,343,319
,288,294,343,319
,288,294,343,319
,288,294,343,319
,288,294,343,319
,288,294,343,319
,288,294,343,319
,311,294,343,319
,322,294,343,319
,322,294,343,319
,325,294,343,319
,325,294,343,319
,325,294,343,319
,326,294,343,319
,326,294,343,319
,326,294,343,319
,326,294,343,319
,326,294,343,319
,326,294,343,319
,326,294,343,319
,332,294,343,319
,332,294,343,319
,332,294,343,319
,332,294,343,319
,333,294,343,319
,333,294,343,319
,333,294,343,319
,333,294,343,319
,333,294,343,319
,334,294,343,319
,334,294,343,319
,334,294,343,319
,334,294,343,319
,334,294,343,319
,334,294,343,319
,334,294,344,319
,334,294,344,320
,334,294,344,320
,334,294,344,320
,334,294,344,320
,334,294,344,320
,334,294,344,320
,334,294,344,320
,334,294,344,320
,334,294,344,320
,334,294,344,320
,335,294,344,320
,335,294,344,320
,335,294,344,320
,335,294,344,320
,335,294,344,320
,335,294,344,320
,335,294,344,320
,335,294,344,320
,336,294,344,320
,336,294,344,320
,336,294,344,320
,336,294,344,320
,336,294,344,320
,336,294,344,320
,336,294,344,320
,336,294,344,320
,336,294,344,320
,336,294,344,320
,336,294,346,320
,336,294,346,320
,336,294,346,320
,336,294,346,320
,336,294,348,320
,336,294,348,320
,336,294,348,320
,336,294,348,320
,336,294,348,320
,336,294,348,320
,336,294,348,320
,336,294,348,320
,336,294,348,320
,336,294,348,320
,336,294,349,320
,336,294,349,320
,336,294,349,320
,336,294,349,320
,336,294,349,320
,336,294,349,320
,336,294,349,320
,336,294,349,320
,336,294,352,320
,336,294,352,320
,336,294,352,320
,336,294,352,320
,336,294,352,320
,336,294,352,320
,336,294,352,320
,336,294,352,320
,336,294,352,320
,336,294,352,320
,336,294,352,320
,336,294,352,320
,336,294,352,320
,336,294,352,320
,336,294,352,320
,336,294,352,320
,336,294,352,320
,336,294,352,320
,336,294,352,320
,336,294,352,320
,336,294,352,320
,336,294,352,320
,336,294,352,320
,336,294,352,320
,336,294,352,320
,336,294,352,320
,336,294,352,320
,336,294,352,320
,336,294,352,320
,336,294,352,320
,336,294,352,320
,336,294,352,320
,336,294,352,320
,336,294,352,320
,336,294,352,320
,336,294,352,320
,336,294,352,320
,336,294,352,320
,336,297,352,320
,336,297,352,320
,336,297,352,320
,336,297,352,320
,336,297,352,320
,336,297,352,320
,336,297,352,320
,336,297,352,320
,336,297,352,320
,336,297,352,320
,336,297,352,320
,336,297,352,320
,336,297,352,320
,336,297,352,320
,336,297,352,320
,336,297,352,320
,336,297,352,320
,336,297,352,320
,336,297,352,320
,336,297,352,320
,339,297,352,320
,339,297,352,320
,339,297,352,321
,339,297,352,321
,339,297,352,321
,339,297,352,321
,339,297,352,321
,339,297,352,321
,339,297,352,321
,339,297,352,321
,339,297,352,321
,339,297,352,321
,339,297,352,321
,339,297,352,321
,339,297,352,321
,339,297,352,321
,339,297,352,321
,339,297,352,321
,339,297,352,321
,339,297,352,321
,339,297,352,321
,339,297,353,321
,339,297,353,321
,339,297,353,321
,339,297,357,321
,339,297,357,321
,339,297,357,321
,339,297,357,321
,339,297,357,321
,339,297,357,321
,340,297,357,321
,340,297,357,321
,340,297,357,321
,341,297,357,321
,341,297,357,321
,341,297,357,321
,341,297,,321
,341,297,,321
,341,297,,321
,341,297,,321
,341,297,,321
,341,297,,321
,341,297,,321
,341,297,,321
,341,297,,321
,341,297,,322
,341,297,,322
,341,297,,322
,341,297,,322
,341,297,,322
,341,297,,322
,341,297,,322
,341,297,,322
,341,297,,322
,341,297,,322
,346,297,,322
,346,297,,322
,346,297,,322
,346,297,,322
,346,297,,322
,346,297,,322
,346,297,,322
,346,297,,322
,346,297,,322
,346,297,,322
,346,297,,322
,346,297,,322
,346,297,,322
,346,297,,322
,346,297,,322
,346,297,,322
,346,297,,322
,346,297,,322
,346,297,,322
,346,297,,322
,346,297,,322
,346,297,,322
,346,297,,322
,346,297,,322
,346,297,,323
,346,297,,323
,346,297,,323
,346,297,,323
,346,297,,323
,346,297,,323
,346,297,,323
,346,297,,323
,346,297,,323
,346,297,,323
,346,297,,323
,346,297,,323
,346,297,,323
,346,297,,323
,346,297,,323
,346,297,,323
,346,297,,323
,346,297,,323
,346,297,,323
,346,297,,323
,346,297,,323
,346,297,,323
,346,297,,323
,346,297,,323
,346,297,,323
,346,297,,323
,346,297,,323
,346,297,,323
,346,297,,323
,346,297,,323
,346,297,,323
,346,297,,323
,346,297,,323
,346,297,,323
,346,297,,323
,346,297,,323
,346,297,,324
,346,297,,324
,346,297,,324
,346,297,,324
,346,297,,324
,346,297,,324
,346,297,,324
,346,297,,324
,346,297,,324
,346,297,,324
,346,297,,324
,346,297,,324
,346,297,,324
,346,297,,324
,346,297,,324
,346,297,,324
,346,297,,324
,346,297,,324
,346,297,,324
,346,297,,324
,346,297,,324
,346,297,,324
,346,297,,324
,346,297,,324
,346,297,,325
,346,297,,325
,346,297,,325
,346,297,,325
,346,297,,325
,346,297,,325
,346,297,,325
,346,297,,325
,346,297,,325
,346,297,,325
,346,297,,325
,346,297,,325
,346,297,,325
,346,297,,325
,346,297,,325
,346,297,,325
,346,297,,325
,347,297,,325
,347,297,,325
,347,297,,325
,347,297,,325
,347,297,,325
,347,297,,325
,347,297,,325
,347,297,,325
,347,297,,325
,347,297,,325
,347,297,,325
,347,297,,325
,347,297,,325
,349,297,,325
,349,297,,325
,349,297,,325
,349,297,,325
,349,297,,325
,349,297,,325
,349,297,,325
,349,297,,325
,349,297,,325
,349,297,,325
,349,297,,325
,349,297,,325
,349,297,,325
,349,297,,325
,349,297,,325
,349,297,,325
,349,297,,325
,349,297,,325
,349,297,,325
,349,297,,325
,349,297,,325
,350,299,,325
,350,300,,325
,350,300,,325
,350,300,,325
,350,300,,325
,351,300,,325
,351,300,,325
,351,300,,325
,351,300,,325
,351,300,,325
,351,300,,325
,351,300,,325
,351,300,,325
,351,300,,326
,351,300,,326
,351,300,,326
,351,300,,326
,351,300,,326
,351,300,,326
,351,300,,326
,351,300,,326
,351,300,,326
,351,300,,326
,352,300,,326
,352,300,,326
,352,300,,326
,352,300,,326
,352,300,,326
,352,300,,326
,352,300,,326
,352,300,,326
,352,300,,326
,352,300,,326
,352,300,,326
,352,300,,326
,352,300,,326
,352,300,,326
,352,300,,326
,352,300,,326
,352,301,,326
,352,301,,326
,352,301,,326
,352,301,,326
,352,301,,326
,352,301,,326
,352,301,,326
,352,301,,326
,352,301,,326
,352,301,,326
,352,301,,326
,352,301,,326
,352,301,,326
,352,301,,326
,352,301,,326
,352,301,,326
,352,301,,326
,352,301,,326
,352,301,,326
,352,301,,326
,352,301,,326
,352,301,,326
,352,301,,326
,352,301,,326
,352,301,,326
,352,301,,326
,352,301,,326
,352,301,,326
,352,301,,326
,352,301,,326
,352,301,,326
,352,301,,326
,352,301,,326
,352,301,,326
,352,301,,326
,352,301,,326
,352,301,,326
,352,301,,326
,352,301,,326
,352,301,,327
,354,301,,327
,354,301,,327
