WILD Winter-Late Steelhead,HATCHERY Summer Steelhead,HATCHERY Winter Steelhead,HATCHERY Winter-Late Steelhead,HATCHERY Type N Coho
,222,329,103,348
,222,329,103,348
,222,329,103,348
,222,329,103,348
,222,329,103,348
,222,329,103,348
,222,329,103,348
,222,329,103,348
,223,329,103,349
,223,329,103,349
,223,330,103,349
,223,332,103,349
,223,332,103,349
,223,332,103,349
,223,332,103,349
,223,332,103,349
,223,332,103,349
,223,332,103,349
,223,333,103,349
,224,333,103,349
,224,333,104,349
,224,333,104,349
,224,333,104,350
,224,333,104,350
,224,333,104,350
,224,333,104,350
,225,333,104,350
,225,333,104,350
,225,333,104,350
,226,333,104,350
,226,333,104,350
,226,333,104,350
,226,333,104,350
,226,334,104,350
,226,334,104,350
,226,334,104,350
,226,334,104,350
,226,334,104,350
,226,334,104,350
,226,334,104,350
,226,334,104,350
,226,334,104,350
,226,335,104,350
,226,335,104,350
,226,335,104,350
,226,335,104,350
,226,336,104,350
,226,336,104,350
,226,336,104,350
,227,336,104,350
,227,336,104,350
,227,336,104,350
,227,336,104,350
,227,337,104,350
,227,337,104,350
,227,337,104,350
,227,339,104,350
,227,339,104,350
,227,339,104,350
,227,339,105,350
,228,339,105,350
,228,339,105,350
,228,340,105,350
,228,340,105,350
,228,340,105,350
,228,340,105,350
,228,340,105,350
,229,340,105,350
,229,340,105,350
,229,340,105,350
,229,340,106,350
,229,340,106,350
,229,340,106,350
,229,340,106,350
,229,340,106,350
,229,340,106,350
,229,340,106,350
,229,340,106,350
,229,340,106,350
,229,340,106,350
,229,340,106,350
,229,340,106,350
,229,340,106,350
,229,340,106,350
,230,340,106,350
,230,340,106,351
,230,340,106,351
,230,340,106,351
,230,340,106,351
,230,341,106,353
,230,341,106,353
,230,341,106,353
,230,341,106,353
,230,341,106,353
,230,341,106,353
,231,341,106,353
,231,341,106,353
,231,341,106,353
,232,342,106,353
,232,342,106,353
,232,342,106,353
,232,342,106,353
,232,343,106,353
,233,343,106,353
,233,343,106,353
,233,343,106,353
,233,343,106,353
,233,343,106,353
,233,343,106,355
,233,344,106,355
,233,344,106,355
,233,344,106,355
,233,344,107,355
,233,344,107,355
,233,344,107,355
,233,344,107,355
,233,344,107,355
,233,344,107,355
,233,344,107,355
,234,344,107,355
,234,344,107,355
,234,344,107,355
,234,344,107,355
,234,344,107,355
,234,344,107,355
,234,344,107,355
,234,344,107,355
,234,344,107,355
,234,344,107,355
,234,344,107,355
,234,344,107,356
,234,344,107,356
,234,344,107,356
,235,344,107,356
,235,344,107,356
,235,346,107,356
,235,346,107,356
,235,346,107,356
,235,346,107,356
,235,346,107,357
,235,346,107,357
,235,346,107,357
,235,346,107,357
,235,346,107,357
,235,346,107,357
,235,346,107,357
,236,346,107,357
,236,346,107,357
,236,346,107,357
,236,346,107,357
,236,346,107,357
,236,346,107,357
,236,347,108,357
,236,347,108,357
,236,347,108,357
,236,347,108,357
,236,347,108,357
,236,347,108,357
,237,347,108,357
,237,347,108,357
,237,347,108,357
,237,347,108,357
,237,347,108,357
,237,347,108,357
,237,347,108,357
,237,347,108,357
,237,347,108,357
,237,347,108,357
,237,347,108,357
,237,347,108,361
,237,347,108,361
,237,347,108,361
,237,347,109,361
,237,347,109,361
,238,347,109,361
,238,347,109,361
,238,347,109,361
,238,347,109,361
,238,347,109,361
,238,347,109,361
,238,347,109,361
,238,347,109,361
,238,347,109,361
,239,347,109,361
,239,347,109,362
,239,347,109,362
,239,347,109,362
,239,347,109,362
,240,347,109,362
,240,347,109,362
,240,347,109,362
,240,347,109,362
,240,347,109,362
,240,347,109,362
,240,347,109,362
,240,347,109,362
,240,348,109,362
,240,348,109,362
,240,348,109,363
,240,348,109,363
,240,348,110,363
,240,348,110,363
,241,348,110,363
,241,348,110,363
,241,348,110,363
,241,348,110,363
,241,348,110,363
,241,348,110,363
,241,348,110,
,241,348,110,
,241,348,110,
,241,348,110,
,241,348,110,
,241,348,110,
,242,348,110,
,242,348,110,
,242,348,110,
,242,348,110,
,242,348,110,
,243,348,110,
,243,348,110,
,243,348,110,
,243,349,110,
,243,349,110,
,243,349,110,
,243,349,110,
,244,349,110,
,244,349,110,
,244,349,110,
,244,349,110,
,244,349,110,
,244,349,110,
,244,349,110,
,244,349,111,
,244,349,111,
,245,349,111,
,245,349,111,
,245,349,111,
,245,349,111,
,245,349,111,
,245,349,111,
,245,349,111,
,245,349,111,
,246,349,111,
,246,349,111,
,247,349,111,
,247,349,111,
,247,349,111,
,247,349,111,
,247,350,111,
,247,350,111,
,247,350,111,
,247,350,111,
,247,350,111,
,247,350,111,
,247,350,111,
,247,350,111,
,248,350,111,
,248,350,111,
,248,350,111,
,248,350,111,
,249,350,111,
,249,350,111,
,250,350,111,
,250,350,111,
,250,351,111,
,250,351,111,
,250,351,111,
,250,351,111,
,250,351,112,
,251,351,112,
,251,351,113,
,251,351,113,
,251,351,114,
,251,351,114,
,251,351,114,
,251,351,114,
,252,351,114,
,252,351,114,
,252,351,114,
,252,351,114,
,252,351,114,
,252,351,114,
,252,351,114,
,252,351,114,
,252,351,114,
,252,351,114,
,253,351,114,
,253,351,114,
,253,351,114,
,253,351,114,
,253,351,114,
,253,351,114,
,253,351,114,
,254,351,114,
,254,351,114,
,254,351,114,
,254,351,114,
,254,351,114,
,255,351,114,
,255,351,114,
,255,351,114,
,255,351,114,
,255,351,114,
,257,351,114,
,257,351,114,
,257,351,114,
,257,351,114,
,257,351,114,
,257,351,114,
,257,351,114,
,257,351,114,
,257,351,114,
,257,351,115,
,257,351,115,
,257,351,115,
,257,351,115,
,257,351,115,
,257,351,115,
,258,351,115,
,258,351,115,
,258,351,115,
,258,352,115,
,258,352,115,
,258,352,115,
,258,352,115,
,258,352,115,
,258,352,115,
,258,352,115,
,258,352,115,
,258,352,115,
,258,352,115,
,258,352,115,
,258,352,115,
,258,352,115,
,258,352,115,
